"지점명","평균기온","일강수량"
강진군,12.6,0
강진군,12.8,
강진군,12.8,
강진군,12.8,
강진군,12.8,
강진군,12.8,
강진군,12.9,
강진군,12.9,
강진군,13.1,
강진군,13.1,
강진군,13.3,
강진군,13.4,
강진군,13.6,
강진군,13.6,
강진군,13.7,
강진군,13.9,
강진군,14.1,24.2
강진군,14.3,
강진군,14.3,
강진군,14.3,4.5
강진군,14.4,47.8
강진군,14.6,
강진군,14.6,
강진군,14.7,
강진군,14.7,
강진군,14.8,
강진군,15.1,12.9
강진군,15.2,
강진군,15.3,9.9
강진군,15.4,
강진군,15.5,
강진군,15.5,
강진군,15.7,
강진군,15.8,
강진군,16,0.3
강진군,16.1,
강진군,16.4,16.1
강진군,16.9,3
강진군,17,
강진군,17.1,0.8
강진군,17.1,1.7
강진군,17.1,38.1
강진군,17.2,4.9
강진군,17.4,
강진군,17.4,
강진군,17.4,
강진군,17.5,
강진군,17.5,0
강진군,17.5,0
강진군,17.8,0.9
강진군,18,
강진군,18.2,
강진군,18.6,
강진군,19.2,
강진군,19.3,0.2
강진군,19.4,
강진군,19.7,
강진군,19.8,
강진군,19.8,0.1
강진군,19.9,
강진군,2,
강진군,2.2,
강진군,2.2,
강진군,2.3,
강진군,2.9,
강진군,20.1,
강진군,20.2,0.8
강진군,20.4,
강진군,20.4,16.4
강진군,20.5,43.9
강진군,20.6,
강진군,20.8,137.8
강진군,20.9,0
강진군,21,
강진군,21,1.8
강진군,21.1,
강진군,21.1,12.8
강진군,21.3,
강진군,21.3,0
강진군,21.5,
강진군,21.5,22.1
강진군,21.6,
강진군,21.6,8.5
강진군,21.8,
강진군,21.8,0
강진군,21.9,
강진군,21.9,0
강진군,22,
강진군,22.1,
강진군,22.1,0.7
강진군,22.2,
강진군,22.2,
강진군,22.2,
강진군,22.2,0
강진군,22.3,
강진군,22.3,0.4
강진군,22.3,4.1
강진군,22.4,
강진군,22.4,
강진군,22.5,
강진군,22.5,0
강진군,22.5,1.7
강진군,22.5,7.6
강진군,22.5,9
강진군,22.6,
강진군,22.6,3.3
강진군,22.7,0
강진군,22.8,
강진군,22.8,0
강진군,22.8,26
강진군,22.9,0.2
강진군,22.9,6.2
강진군,23,
강진군,23,
강진군,23,
강진군,23,14.8
강진군,23.1,
강진군,23.1,
강진군,23.1,6.2
강진군,23.2,0
강진군,23.2,21.8
강진군,23.2,25.4
강진군,23.2,8.5
강진군,23.3,
강진군,23.4,
강진군,23.5,3.4
강진군,23.6,
강진군,23.6,
강진군,23.6,
강진군,23.6,
강진군,23.6,13.4
강진군,23.7,
강진군,23.7,
강진군,23.7,
강진군,23.9,
강진군,23.9,
강진군,23.9,0.2
강진군,23.9,45
강진군,24,
강진군,24,
강진군,24,0
강진군,24,2.7
강진군,24.1,
강진군,24.1,53.9
강진군,24.3,
강진군,24.4,
강진군,24.4,36.7
강진군,24.5,
강진군,24.5,
강진군,24.6,210.9
강진군,24.9,
강진군,25,
강진군,25,0
강진군,25,1.4
강진군,25.2,0
강진군,25.4,
강진군,25.5,0
강진군,25.5,1.6
강진군,25.5,10.8
강진군,25.5,9.7
강진군,25.6,26.5
강진군,25.7,0
강진군,25.7,19.1
강진군,25.8,1.3
강진군,25.8,9.4
강진군,25.9,0.2
강진군,26,
강진군,26.1,
강진군,26.1,16.2
강진군,26.2,1.6
강진군,26.3,
강진군,26.4,
강진군,26.4,
강진군,26.4,0
강진군,26.5,
강진군,26.5,35.4
강진군,26.5,6.7
강진군,26.6,6.4
강진군,26.7,
강진군,26.7,126.9
강진군,26.8,7.8
강진군,26.9,
강진군,26.9,0
강진군,27,0
강진군,27.1,
강진군,27.1,0
강진군,27.4,5.1
강진군,27.5,
강진군,27.7,
강진군,27.7,
강진군,27.8,
강진군,27.9,
강진군,27.9,
강진군,27.9,
강진군,27.9,
강진군,28,
강진군,28,
강진군,28,
강진군,28,6
강진군,28.3,
강진군,28.4,
강진군,28.4,
강진군,28.4,
강진군,28.5,
강진군,28.6,
강진군,28.6,36.8
강진군,28.8,
강진군,3,
강진군,3,0.1
강진군,3.1,
강진군,3.3,0.1
강진군,3.6,
강진군,3.8,
강진군,3.9,
강진군,4,
강진군,4,
강진군,4.1,
강진군,4.3,
강진군,4.3,0
강진군,4.3,0.3
강진군,4.6,
강진군,4.6,0
강진군,4.8,
강진군,4.8,
강진군,5.1,
강진군,5.3,
강진군,5.4,
강진군,5.6,
강진군,5.6,
강진군,5.6,
강진군,5.6,3
강진군,5.8,
강진군,5.8,
강진군,5.9,0.2
강진군,6,
강진군,6.2,
강진군,6.3,
강진군,6.4,2.1
강진군,6.4,4.5
강진군,6.5,8
강진군,6.8,
강진군,6.9,
강진군,7,9
강진군,7.2,
강진군,7.3,
강진군,7.4,
강진군,7.4,
강진군,7.4,
강진군,7.4,13.3
강진군,7.5,
강진군,7.5,
강진군,7.6,
강진군,7.7,
강진군,7.7,
강진군,7.8,1.9
강진군,8,
강진군,8.1,0.4
강진군,8.2,
강진군,8.2,
강진군,8.2,
강진군,8.3,0
강진군,8.3,1.4
강진군,8.4,
강진군,8.4,
강진군,8.5,
강진군,8.6,
강진군,8.7,15.5
강진군,8.7,22.2
강진군,8.8,
강진군,8.8,
강진군,8.9,
강진군,8.9,
강진군,9,
강진군,9.1,
강진군,9.2,
강진군,9.3,
강진군,9.3,0.8
강진군,9.4,
강진군,9.4,2.3
강진군,9.4,3.5
강진군,9.5,
강진군,9.5,
강진군,9.5,
강진군,9.5,
강진군,9.5,0.1
강진군,9.5,0.6
강진군,9.5,11.5
강진군,9.5,3.6
강진군,9.6,
강진군,9.6,3.9
강진군,9.7,
강진군,9.7,
강진군,9.7,20.1
강진군,9.8,
강진군,9.9,1.5
강화,-0.1,1.1
강화,-0.4,
강화,-0.6,
강화,-0.8,
강화,-1.1,
강화,-1.5,0.1
강화,-1.8,
강화,-11.3,
강화,-11.7,
강화,-12.1,
강화,-14.2,
강화,-14.7,
강화,-2,
강화,-2,
강화,-2,
강화,-2.4,
강화,-3.4,
강화,-3.4,
강화,-3.4,3.7
